Username,Label,Tweet
GovKathyHochul,0,"RT @NYSDHSES: We are monitoring the potential for severe weather tomorrow as confidence has increased for severe thunderstorms tomorrow aft…"
GovKathyHochul,0,"New York stands with the people of Israel as they face a horrific attack by Iran.  We are not aware of any domestic threats. As a precautionary measure, @nyspolice, @NationalGuardNY &amp; @NYSDHSES are on high alert to protect houses of worship and high-profile locations."
GovKathyHochul,0,"In the face of a youth mental health crisis, we’ve made investing in school-based mental health clinics a top priority.  During my recent visit to @MohonCSD, I saw the positive impact those resources can have in getting kids the help they need &amp; deserve. https://t.co/VS1yaOVhVs"
GovKathyHochul,0,"Last night, landmarks across the state were lit in recognition of National Donate Life Blue and Green Day.   Thousands of New Yorkers are waiting for a life-saving organ transplant, and enrolling as a donor can save lives. Join the registry: https://t.co/L1UR4JEE1E https://t.co/xtMgVgzUse"
GovKathyHochul,0,"📆 Tax Day is this Monday, April 15.  Still need to file? You can do it online for free using New York’s new Direct File tool!  Learn more and check if you’re eligible: https://t.co/R03dE7Rwvt https://t.co/q8Jf68AP6H"
GovKathyHochul,0,"New York saw record-setting tourism numbers thanks to the total solar eclipse, with @NYstateparks attendance up 45% compared to last April!  I can say firsthand, New York was one of the best places on Earth to witness this once-in-a-generation event. https://t.co/Y6t1NQy0Ev"
GovKathyHochul,0,"NEW: New York’s Cannabis Control Board has issued over 400 licenses in 2024 alone!  This is a major milestone as we continue working to crack down on illegal storefronts and build the most successful, equitable cannabis industry in the nation."
GovKathyHochul,0,"Today marks 56 years since the Fair Housing Act was signed into law.  This landmark legislation ensured protections to prevent anyone from facing discrimination when it comes to housing."
GovKathyHochul,0,"Black mothers are 3-4 times more likely to die in childbirth than white women.  It's unconscionable and it must change. That's why in New York, we're taking action to expand access to high-quality prenatal care, reduce costs, create safer births, and save lives. #BMHW24 https://t.co/ppaBdiiiOT"
GovKathyHochul,0,"I refuse to let our daughters and granddaughters have to fight for the rights that generations have fought for and won.  To states like Florida and Arizona implementing draconian abortion laws: Don't underestimate the rage of women in this country."
GovKathyHochul,0,"When ten of my neighbors in Buffalo were murdered in a hate-fueled mass shooting, New York passed common-sense gun safety laws that are saving lives.  Grateful to @POTUS for implementing new federal protections that will keep Americans safe. https://t.co/Z8fqhRvZnv"
GovKathyHochul,0,"We have had an invaluable partner in @WhiteHouseIGA46’s Tom Perez as we continue working to address the migrant crisis. Met with him again today in Washington to discuss our progress on this and other pressing issues facing our state. https://t.co/MibfRvQ0Ns"
GovKathyHochul,0,"Broadband isn’t a luxury – it’s a necessity.  Thanks to federal funding through the Bipartisan Infrastructure Law, we’ve announced our $50 million Digital Equity Plan to close the digital divide and ensure all New Yorkers can participate in our modern economy."
GovKathyHochul,0,"Productive meeting with @ActSecJulieSu in Washington, D.C. on ways to make unemployment insurance stronger for workers and businesses in New York, as well as ways to put asylum seekers and migrants to work. https://t.co/CYOk7liZHa"
