Username,Label,Tweet
MarshaBlackburn,1,"We stand with Israel. https://t.co/XMNSaFkkpa"
MarshaBlackburn,1,"“And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus.” — Philippians 4:7"
MarshaBlackburn,1,"Pray for Israel 🇮🇱🇺🇸"
MarshaBlackburn,1,"Joe Biden’s policies have funded Iran’s attack on Israel."
MarshaBlackburn,1,"Under President Trump, Iran was broke.   President Biden gifted them billions of dollars and then naively said “don’t.”  “Don’t” is not a foreign policy."
MarshaBlackburn,1,"Never back down to terrorists.  Stand with Israel."
MarshaBlackburn,1,"RT @AIPAC: Thank you @MarshaBlackburn  America must stand with Israel as it confronts this attack from Iran."
MarshaBlackburn,1,"RT @MorganOrtagus: Reminder: Biden allowed the UN sanctions on Iran's drones and ballistic missiles to expire less than six months ago.  Th…"
MarshaBlackburn,1,"The Iranian regime is no longer relying on its proxy terrorist groups to carry out a war on Israel.  They are now directly involved.  We MUST stand with Israel."
MarshaBlackburn,1,"Iran has begun launching drone strikes on Israel.  @POTUS — we must move quickly and launch aggressive retaliatory strikes on Iran. https://t.co/nu2A8gUfl6"
MarshaBlackburn,1,"Praying for Israel and the Jewish people."
MarshaBlackburn,1,"Under a new “Ability to Pay” bond policy, the suspect in the murder of a Memphis police officer was released back onto the streets instead of remaining behind bars.  This is unconscionable.  Stop bail reform and cashless bail. https://t.co/Zk9cTpt5ML"
MarshaBlackburn,1,"Woke bail reform policies are fueling rising crime in our communities.  My bill, the Keep Violent Criminals Off Our Streets Act, would restore law &amp; order by deterring policies that reward criminal behavior.  https://t.co/vd7xtObUoU"
MarshaBlackburn,1,"A police officer in Memphis, Tennessee was murdered today after a criminal was released onto the streets without bond.  Keep violent criminals behind bars — NOT out on our streets."
MarshaBlackburn,1,"Because of soft-on-crime policies like bail reform, a Tennessee police officer lost his life to a criminal who was put back out on the streets.  Had he been in jail, this senseless murder would not have occurred."
MarshaBlackburn,1,"RT @TechNetUpdate: Thank you @MarshaBlackburn for joining #TechNetDay and meeting with our executives to discuss how preserving core copyri…"
MarshaBlackburn,1,"The suspect in the murder of a Memphis police officer was arrested and released without bond in March of this year — just weeks before the deadly shooting that occurred this morning.    This is the result of the Left’s woke soft-on-crime agenda."
MarshaBlackburn,1,"President Trump made clear that the United States would not hesitate to strike Iran if it perpetuated its campaign of terror and posed a direct threat to the USA and our allies.   If Tehran launches an attack on Israel, President Biden should order the military to launch… https://t.co/xOs1lA20Ft"
MarshaBlackburn,1,"I am heartbroken to learn that Memphis Police Officer Joseph McKinney was murdered in the line of duty while protecting and serving Tennesseans.   My prayers are with his family, friends, and colleagues."
MarshaBlackburn,1,"Praying for a swift recovery for the 3 Memphis police officers who were shot in the line of duty this morning. https://t.co/lCVXKtbxK0"
MarshaBlackburn,1,"The migrants arrested for storming the U.S. border and rioting against the National Guard were freely released from jail.    Why are we rewarding criminal behavior? What message does this send to the cartels?"
MarshaBlackburn,1,"Gas prices have climbed 14% since January.   It’s only April.   Bidenflation continues to take its toll on your personal pocketbook."
MarshaBlackburn,1,"@DanB64479572 @SenSchumer I agree, Dan."
MarshaBlackburn,1,"@arikopel Thank you for the prayers, Ari."
