Username,Label,Tweet
MikeDeWine,1,"Congrats to @OhioStateWBB on their victory over Maine today! #MarchMadness"
MikeDeWine,1,"Congrats to the Dayton Flyers on their victory yesterday! What a game! ✈️@DaytonMBB #MarchMadness"
MikeDeWine,1,"I cast my ballot for Matt Dolan in the Ohio Republican Senate Primary, and I urge you to do the same! You can vote early this weekend at your county board of elections or at the polls on Tuesday. Matt Dolan is the strongest candidate to defeat Sherrod Brown in November!"
MikeDeWine,1,"Chuck Schumer and the democrats are running ads in support of Bernie Moreno because they know he’s the weakest candidate to beat Sherrod Brown this fall. It’s time for Ohio Republicans to unite behind Matt Dolan and send a message this seat isn’t for sale. https://t.co/eLgiDbZ9Pp"
MikeDeWine,1,"This afternoon, @FranDeWine and I visited our first great-grandchild, Betty Jane, who was born yesterday! https://t.co/dSfdT7Mqln"
MikeDeWine,1,"To our fellow Ohioans… @dolan4ohio https://t.co/V2bS8pq23A"
MikeDeWine,1,"It was great getting to visit with Bucky and several of his family members to talk UD basketball! https://t.co/rorJJRf5dL"
MikeDeWine,1,"Wishing all the best to @joebonsall of the @oakridgeboys as he retires from touring. Thank you for sharing your gift and entertaining us all for the last 50 years. https://t.co/1fn2xF0xAJ"
MikeDeWine,1,"Congratulations to the Husted family! https://t.co/sb4GgXl4ww"
MikeDeWine,1,"Our family always gathers together on Christmas Eve. This picture was taken earlier today.  We wish everyone a blessed Christmas! https://t.co/a0wtNmqfPR"
MikeDeWine,1,"Congrats to the CHAMPS!! @ColumbusCrew  #Crew96 #VamosColumbus https://t.co/fXcEb1nnc4"
MikeDeWine,1,"RT @ColumbusCrew: YOUR 2023 MLS CUP CHAMPIONS 🏆 https://t.co/j8xsfMMZiW"
MikeDeWine,1,"Watching the @ColumbusCrew play for their third MLS Cup! ⚽️⚽️⚽️  All Together Now 🙌  #Crew96 #VamosColumbus https://t.co/TQmURCbICT"
MikeDeWine,1,"All Together Now 🙌  Let’s go, Crew!  #Crew96 #VamosColumbus https://t.co/oTkOa5WMDy"
MikeDeWine,1,"RT @GovMikeDeWine: Fran and I are saddened to learn about the death of First Lady Rosalynn Carter. Over the decades, she has been a strong…"
MikeDeWine,1,"Today is the first day of early voting, so Fran and I went to the board of elections and cast our ballots. https://t.co/CgwuZtIOCv"
MikeDeWine,1,"Happy 99th Birthday, President Carter!"
MikeDeWine,1,"@FranDeWine and I met 88-year-old Delbert from Athens County. He’s been a @Bengals fan for a long time, but today he’s attending his first game! #WhoDey #BALvsCIN https://t.co/TcGtX940RE"
MikeDeWine,1,"RT @lukebryan: Honored that Governor Mike DeWine of Ohio named yesterday as Here’s To The Farmer Day for #FarmTour2023. Michigan, we’ll see…"
MikeDeWine,1,"And then last night, our family, along with 25,000 of his other fans, attended his concert at the Miller family farm as part of his farm tour 2023."
MikeDeWine,1,"Yesterday, Fran held her annual charity event - this time focused on the challenge of childhood food insecurity.   Luke Bryan was so kind to stop by and sing several songs!  Here he is with some of our family! https://t.co/eHvrvHmoH0"
MikeDeWine,1,"At Indiana with Steven. Go Bucks! https://t.co/J2Z0ngEhKa"
MikeDeWine,1,"Congratulations to the @OhioYRs on this outstanding recognition! https://t.co/y4f68bWZdX"
MikeDeWine,1,"I stopped by the @intel booth in the Lausche building at the @OhioStateFair with @FranDeWine and grandchildren Parker and Addi. https://t.co/4rPfm2BFrC"
MikeDeWine,1,"RT @ArmstrongSpace: Today, the museum is celebrating the launch anniversary of #Apollo15 at the @OhioStateFair, highlighting the mission’s…"
MikeDeWine,1,"RT @ohiodnr: When you visit the Natural Resources Park at the @ohiostatefair, you’ll get a glimpse at the opportunities that await you in O…"
MikeDeWine,1,"RT @FranDeWine: I am looking forward to cooking with kids at this year's @OhioStateFair! Bring your family out to the fair and join me at 1…"
MikeDeWine,1,"The 2023 @OhioStateFair is open!! https://t.co/MFLgYXf5fx"
MikeDeWine,1,"In a few minutes I’ll be on Fox28 with @CameronFontana to talk about opening day of the @OhioStateFair ! https://t.co/ih43CdGzKm"
MikeDeWine,1,"Fran and I stopped at the Marblehead Lighthouse with a couple of our family members. Then we got dinner (Lake Erie perch!) at Jolly Rogers! https://t.co/uG25M3Phc7"
MikeDeWine,1,"Happy Father’s Day!"
MikeDeWine,1,"And a big THANK YOU to the American Legion and American Legion Auxiliary for the countless hours they spend putting this week together so that the participants can have a fun and valuable experience."
MikeDeWine,1,"I always enjoying spending time with the young men &amp; women at Buckeye Boys State &amp; Buckeye Girls State. It's a pleasure to meet young people who are interested in and passionate about the role of government. Best of luck to all of the participants! https://t.co/VHjXrScpFz"
MikeDeWine,1,"We watched @Reds pitcher Andrew Abbott make his major league debut with 6 great innings against the Brewers last tonight in Cincinnati. https://t.co/wOpHf8yZdk"
MikeDeWine,1,"We are grateful for Virgil Strickler’s many years as manager of the @OhioStateFair! Here are several pictures of Virgil - including a picture of him (on the right) and his dad (on the left). https://t.co/nObynMq7RP"
MikeDeWine,1,"Fran and I were honored to help celebrate the Grote family and @Donatos Pizza on their 60th anniversary this morning! Congratulations to the entire Donatos team. We are fortunate that you were started in Ohio and still call Ohio home! https://t.co/RUaimHfhPv"
MikeDeWine,1,"Congratulations to Josie who graduated from high school last night! https://t.co/u12qX3q0DJ"
MikeDeWine,1,"Congratulations, @MABSorelle, on making it to the live season finale of @NBCTheVoice tonight! Sorelle is a sister trio from Lexington, Ohio who has been making Ohio proud and impressing the country with their incredible harmonies. #TheVoice"
MikeDeWine,1,"This weekend we celebrated @FranDeWine’s  birthday with our family. 🎂 https://t.co/PzilAakAdU"
MikeDeWine,1,"This afternoon, Fran and I watched   Josie and Rebecca run the 3200 race at the division meet at Graham High School. https://t.co/PXnep3I8UG"
MikeDeWine,1,"This morning, we watched our granddaughter Mary run in the D1 district meet at Hilliard Darby High School. https://t.co/1l94jW7775"
MikeDeWine,1,"Fran and I extend our sincerest condolences to Jim Brown’s family at this time."
MikeDeWine,1,"Adding to his reputation as one of the greatest players in NFL history was his notable humanitarian efforts, including advocating for civil rights, working with disadvantaged urban youth, and helping those in prison to reform and rehabilitate."
MikeDeWine,1,"Fran and I are saddened to learn of the death of legendary NFL running back Jim Brown. As a young boy, I would watch Jim play for the Cleveland Browns on TV every Sunday, and few could keep him out of the end zone. https://t.co/GqjfUtHbsV"
MikeDeWine,1,"The @NMGLToledo has opened a temporary exhibit titled Ohio Shipwrecks in the Map Room of the Ohio Statehouse. There are stories and artifacts from a few of the #shipwrecks that occurred in #LakeErie near the shores of #Ohio. A very interesting piece of Ohio history! https://t.co/kn3sPe42bB"
MikeDeWine,1,"Glad to see Dayton Flyers - Cincinnati Bearcats basketball rivalry may be renewed! How about also renewing UD - Miami rivalry? https://t.co/Pl0U9ZOLHf"
MikeDeWine,1,"Congratulations to Grace who graduated from Miami last weekend! https://t.co/fUaaKHBMQ3"
MikeDeWine,1,"Good luck to Ohio’s very own sister trio, @MABSorelle, as they compete live in the semi-finals of @NBCTheVoice tonight! #TeamChance #TheVoice"
MikeDeWine,1,"What a great story! Congratulations, Mary! https://t.co/hBplNw3Dqo"
MikeDeWine,1,"Congratulations to Caroline who graduated from Belmont University last weekend and to Izzy who graduated with a masters this weekend from Vanderbilt! https://t.co/KUlKlb6rBs"
