Username,Label,Tweet
RepBradWenstrup,1,"Iran has been on offense since they took Americans hostages in 1979 and they have not let up. Their long awaited unwarranted attack on Israel merits a swift response and any appeasement by our current administration is not appropriate in any way."
RepBradWenstrup,1,"RT @ADMotzen: Thank you @RepBradWenstrup for meeting with @YitzFrank and our @AgudahNews delegation this week. We appreciate your unwaverin…"
RepBradWenstrup,1,"RT @HouseIntel: “You need to get a warrant. Carter Page had a warrant on him. The problem was they got the warrant because they lied to the…"
RepBradWenstrup,1,"RT @HouseIntel: .@RepBradWenstrup on the need to reform FISA Section 702:  “I think it’s a very important tool that we need to keep our cou…"
RepBradWenstrup,1,"RT @UnvarnishedGME: Republicans on the @COVIDSelect are investigating emails between Anthony Fauci’s top aide at NIAID and an epidemiologis…"
RepBradWenstrup,1,"RT @COVIDSelect: 🚨BREAKING🚨  Whistleblower provides new evidence of Dr. David Morens — a top advisor to Dr. Fauci — allegedly using his Gma…"
RepBradWenstrup,1,"I will be joining @AmericaRpts around 2:15 today. Be sure to tune in!"
RepBradWenstrup,1,"RT @HouseIntel: Today, the @WSJ Editorial Board voiced its support for the Reforming Intelligence and Securing America Act.  The Editorial…"
RepBradWenstrup,1,"I’ll be joining @AmericaRpts at 1:30 to discuss @COVIDSelect’s upcoming hearing with EcoHealth Alliance President Dr. Peter Daszak. Be sure to tune in!"
RepBradWenstrup,1,"RT @FoxNews: COVID origins: EcoHealth Alliance president to testify publicly before Congress next month https://t.co/ok24xmyexX"
RepBradWenstrup,1,"Read my bill, the IIR on AHI Act, H.R. 7305 here: https://t.co/HRaS92i3wT https://t.co/ucfXDfPWFg"
RepBradWenstrup,1,"Recent reporting from @60minutes on ‘Havana Syndrome’ sheds light on what I have long been concerned about – that Havana Syndrome is a result of targeted attacks on U.S. officials and servicemembers both here in the U.S. and abroad. They deserve answers – and so do the American… https://t.co/WSFcEUv415"
RepBradWenstrup,1,"RT @COVIDSelect: 🚨BREAKING🚨  EcoHealth Alliance President Dr. Peter Daszak will testify at a public hearing on May 1, 2024.  Dr. Daszak mus…"
RepBradWenstrup,1,"Monica and I honor the life of Brigid Kelly and are keeping her family in our prayers as she is laid to rest today. Brigid’s commitment and dedication to the people of Cincinnati shown brightly in our community – may her life never be forgotten."
RepBradWenstrup,1,"I'll be joining @Varneyco around 9:15 AM on Fox Business. Be sure to tune in!"
RepBradWenstrup,1,"RT @thehill: Rep. Brad Wenstrup (R-Ohio), chair of the House Select Subcommittee on the Coronavirus Pandemic, issued letters to the editors…"
RepBradWenstrup,1,"RT @COVIDSelect: 🚨NEW🚨  We invited the Editors-in-Chief of @TheLancet, @ScienceMagazine, &amp; @Nature to testify.  Did the U.S. government cen…"
RepBradWenstrup,1,"My office continues to monitor the damage occurring from today’s storms across the district, and will be working with the Governor and Federal Government in the coming days to help communities recover.  As strong weather activity continues throughout the afternoon and evening,… https://t.co/D029eQ8BvB"
RepBradWenstrup,1,"RT @Ohio_EMA: Updated weather information from @NWSILN  04/02/2024"
RepBradWenstrup,1,"“And God hath both raised up the Lord, and will also raise up us by his own power.” 1 Corinthians 6:14  Wishing a blessed Easter to all those who celebrate! https://t.co/yvREwONNBQ"
RepBradWenstrup,1,"RT @COVIDSelect: 🚨Nursing Home Investigation Update🚨  Based on new evidence, we are adding TWO transcribed interview requests for Cuomo off…"
RepBradWenstrup,1,"RT @WithHonorAction: Congress just passed the largest expansion of Afghan Special Immigrant Visas to date, an effort led by @BipartisanVets…"
RepBradWenstrup,1,"This month, @COVIDSelect issued a subpoena for former Gov. Andrew Cuomo to appear for a deposition on his deadly “must-admit” nursing home policy.  New Yorkers deserve answers.  @Repmalliotakis and I joined @JaniceDean to discuss our investigation 👇   https://t.co/N9Nb7uvOcO"
RepBradWenstrup,1,"RT @COVIDSelect: Chairman @RepBradWenstrup today:   America's vaccine safety systems were clearly not prepared to handle the massive influx…"
RepBradWenstrup,1,"RT @COVIDSelect: America's vaccine safety systems often failed to accurately identify injuries or follow-up on serious reports made by phys…"
RepBradWenstrup,1,"RT @RepublicanStudy: 🔒@RepBradWenstrup's Foreign Adversary Gain-of-Function Research Prevention Act would ban direct and indirect Federal f…"
RepBradWenstrup,1,"I spoke in support of @michaelcburgess' Preventative Health Savings Act on the House floor yesterday. You can watch my remarks below. https://t.co/WdZzBFBZVe"
RepBradWenstrup,1,"RT @GOPDoctors: This week, the @GOPDoctors co-chairs were in Denton, Texas, for a @waysandmeansGOP field hearing on Ensuring Resilient Emer…"
RepBradWenstrup,1,"I joined @RepGregMurphy for a press conference to discuss our bill, the EDUCATE Act, to bar federal funding from going to medical schools using divisive DEI practices. Our future physicians should be advanced on merit, not through acts of discrimination. Watch my full remarks 👇 https://t.co/pqpngTkDjf https://t.co/Yz1ah2Rw1c"
RepBradWenstrup,1,"RT @CenterSqareAlan: #NCpol #ohpol #UTpol   @RepGregMurphy @RepBradWenstrup @RepBurgessOwens strong today at presser for #EDUCATEAct to sto…"
RepBradWenstrup,1,"Today at 2:00 I'll be joining @RepGregMurphy for a press conference on our bill, the Educate Act. Watch live at the link below!  https://t.co/YsTfnAFee7 https://t.co/hCDSAOVr7k"
RepBradWenstrup,1,"RT @COVIDSelect: Prolonged pandemic-era school closures were unnecessary, unscientific, and harmful to America's children.  Historic learni…"
RepBradWenstrup,1,"RT @WaysandMeansGOP: The No Surprises Act provides critical protections for patients.  Unfortunately, the failed implementation of the No S…"
RepBradWenstrup,1,"Calling all high school students to participate in the annual Congressional Art Competition. First-place winners will have their work displayed in the U.S. Capitol! For more information on the competition follow the link below! https://t.co/MsBqyQ4urB"
RepBradWenstrup,1,"RT @NAFTZ: NAFTZ presents our Congressional Awards of Appreciation each year to members of congress that have been supportive of the Associ…"
RepBradWenstrup,1,"Enjoyed discussing the benefits of my Treat and Reduce Obesity Act #TROA bill, as well as my work as Chairman of @COVIDSelect to prepare for and prevent future pandemics with @politico's @_BenLeonard_. You can watch our full discussion below. https://t.co/sJQw5UkUWm"
RepBradWenstrup,1,"I'll be joining @politico's @_BenLeonard_ for a discussion on my #TROA bill to Treat and Reduce Obesity and my work on @COVIDSelect. Be sure to tune in! https://t.co/uGnM4TA2E6"
RepBradWenstrup,1,"RT @RepSchneider: I joined @RepBradWenstrup in introducing the Bipartisan Primary and Virtual Care Affordability Act.   By removing the fin…"
RepBradWenstrup,1,"At a 2017 baseball practice of Republican members, a gunman attempted to flip political control of the House through politically motivated domestic terrorism. Yet, the @FBI originally labeled this attack simply ""suicide by cop.""   At this week's @HouseIntel annual threat… https://t.co/EmbCOg5ZVt https://t.co/pjuMLbcP5H"
RepBradWenstrup,1,"Enjoyed visiting with fellows from the new Portman Center for Policy Solutions this week. I am proud of the work these fellows are doing @uofcincy to find common ground on the issues facing our nation and I look forward to seeing the difference these young leaders will make in… https://t.co/Hse9OHEGbS https://t.co/2WU9CuOmqU"
RepBradWenstrup,1,"RT @BipartisanVets: Created in the FY22 NDAA, @NatSecBioTech was charged with making policy recommendations to Congress and the Executive B…"
RepBradWenstrup,1,"RT @Harri_Leigh: WATCH: House Select Subcommittee on the Coronavirus Pandemic Chair @RepBradWenstrup explains why he subpoenaed former New…"
RepBradWenstrup,1,"Thrilled to see the economic growth this logistics site is bringing to Adams County and the surrounding area! https://t.co/zpHeRNe61J"
RepBradWenstrup,1,"RT @JapanEmbDC: I am deeply grateful for the unwavering support from @RepBradWenstrup for our alliance. People-to-people and inter-parliame…"
RepBradWenstrup,1,"It was an honor to accept an award from @AMVETSHQ today. As a veteran, I know the sacrifices our service members make, and I will always fight to ensure all veterans can succeed while serving and after they leave the military. https://t.co/eSUS1a1e7K https://t.co/ab0xz2oD09"
RepBradWenstrup,1,"This week marks the 45th anniversary of the Taiwan Relations Act. I had the opportunity to speak on the importance of Taiwan as a free and prosperous nation, and how this vital legislation fosters our close relationship. https://t.co/3p0aYDhHZf https://t.co/YyH7C1CMP3"
RepBradWenstrup,1,"Join me in celebrating @KenworthTruckCo 50th anniversary in Chillicothe. Since 1974, Kenworth has produced over 750,000 trucks in their Ross County Plant - providing thousands of jobs to the local community. We are proud to have Kenworth in our community and look forward to their… https://t.co/osdLwTaOFx"
