Username,Label,Tweet
mikepompeo,1,"""I will bless those who bless you, and whoever curses you I will curse; and all peoples on earth will be blessed through you."" Genesis 12:3 #SundayScripture ✝️"
mikepompeo,1,"The unfortunate reality is that we’ve already lost deterrence.  And the best way to restore it?  Elect President Trump. https://t.co/H9KK7GId7I"
mikepompeo,1,"When your Secretary of State declares near moral equivalence between good, our ally Israel, and evil, the Islamic Republic, you get bad guys wreaking destruction.  Susan and I are praying for the people of Israel and our military warriors in the region."
mikepompeo,1,"So much for ""Don't."""
mikepompeo,1,"There's no defense for putting Marxists who hate America in senior positions at the State Department.  https://t.co/2IBnVqBbEa"
mikepompeo,1,"China has an “objective and impartial position” and “will persist in being a force for peace” in Ukraine -China’s FM Wang  Russians receive massive, important military support, govt officials confirm -AP  So not shocking. Never forget: The CCP lies. The CCP is on the side of… https://t.co/pW9iZFu5Pj"
mikepompeo,1,"American families don’t want to give the IRS more control—especially after the agency targeted conservatives.  Dangerous idea. https://t.co/yUEC5REgoh"
mikepompeo,1,"The world is much more dangerous today than it was three-plus years ago.  It’s because smart, thoughtful policies from the Trump Administration have been replaced with the same old liberal ideology of weakness that has long ruled Washington. https://t.co/NeCQMM0TvD"
mikepompeo,1,"Susan and I are praying for the families of the hostages held by Hamas—which includes Americans—who are dealing with unimaginable pain.  There’s no moral equivalence between Hamas’s war crimes and Israel’s just response."
mikepompeo,1,"As Iran threatens Israel, President Biden must make clear: we will defend our ally.  Any sign of weakness will only encourage Iran to attack."
mikepompeo,1,"After 45 years, the Taiwan Relations Act is no longer enough. Here is why: https://t.co/vwPPi322ZW"
mikepompeo,1,"It’s good to hear President Biden is finally considering taking action on the border.  But what’s the delay? He could have done this years ago—before 10 million + illegal immigrants crossed."
mikepompeo,1,"RT @tperkins: Comments from @mikepompeo on the ongoing threats to Israel as the Biden administration abandons support for Israel. https://t…"
mikepompeo,1,"The latest data confirms what families see at the grocery store: inflation is still a major problem.  It will take a long time to fix the mess created by reckless fiscal and monetary policies."
mikepompeo,1,"This week, Congress has the chance to pass the single-largest overhaul to the FBI in nearly 20 years.  Here’s why it’s in our interest to get this done https://t.co/OaimPr13lE"
mikepompeo,1,"Good for Speak Johnson. Helping Ukraine and Israel win is in our core interest. https://t.co/g15kloCSbM"
mikepompeo,1,"The Biden administration's core commitment is to inflict a divisive, un-American, Marxist dogma on the American people and waste your tax dollars to do it. The State Department should be staffed by individuals who love America and believe in our core principles, not ideologues… https://t.co/HTupMegfzi"
mikepompeo,1,"RT @HudsonInstitute: ""Americans are safer and more prosperous when we support our friends in thwarting our common enemies who work together…"
mikepompeo,1,"The same John Brennan who helped create the Russia hoax and lied about Hunter’s laptop leaves out an important fact: Russia invaded Ukraine under Obama and Biden.  Not under President Trump.    https://t.co/ihvajQ43XK"
mikepompeo,1,"""Donald Trump is the right person to once again be President of the United States. The security and prosperity of our children depend on it.  As CIA Director and Secretary of State, I served under President Trump to help him put America First—and he delivered amazing outcomes for… https://t.co/NXt5cVWpc3"
mikepompeo,1,"Donald Trump is the right person to once again be President of the United States.  The security and prosperity of our children depend on it. https://t.co/aUwx6HsTjT"
mikepompeo,1,"Dave McCormick will push for strong borders and confront the Chinese Communist Party head-on, defend our Second Amendment, and work tirelessly to restore America’s energy independence. I’m proud to give @DaveMcCormickPA my support and endorsement to serve Pennsylvanians in the… https://t.co/NqXgwEoNDZ https://t.co/tXGTicsxin"
mikepompeo,1,"What do Hamas, Hezbollah, and the Houthis have in common?  All are supported by Iran.  Until President Biden confronts the root cause of the turmoil, we won't have peace and security."
mikepompeo,1,"When the Administration promises to ""forgive"" student loans, remember: there is no free lunch.  That money will still be paid—with interest—by taxpayers, including our kids and grandkids."
mikepompeo,1,"Handcuffing Ukraine won't help end this war—in fact, it will prolong it. Another serious mistake from the Biden Administration. https://t.co/iG97v9hEVu"
mikepompeo,1,"Six months later, Hamas continues to hold hostages—even Americans.  This is a fight between good and evil."
mikepompeo,1,"Tragic but preventable. The Administration’s border policies are causing harm to every American. https://t.co/Ze380uvM5m"
